departamento;arma ;fecha;genero;población
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;29/03/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;3/07/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;27/03/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;15/06/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;16/03/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;6/08/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;12/05/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;23/02/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;26/02/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;1/03/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;8/03/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;24/03/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;28/03/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;10/05/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;15/05/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;2/06/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;18/08/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;3/02/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;2/03/2022;MASCULINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;6/03/2022;FEMENINO;ADULTOS
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;10/05/2022;MASCULINO;ADULTOS
